,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
15,1139.0,1373.0,2290.0,2161.0,2069.0,1400.0,8904.0,5656.0,3390.0,2262.0,2895.0,2558.0,3479.0,2418.0,1738.0,3248.0,1634.0,1951.0,2557.0,4494.0,2307.0,1036.0,1457.0,936.0,9678.0,1901.0,1352.0,2267.0,2064.0,2281.0,6817.0,6109.0,3864.0,2175.0,2566.0,2688.0,2032.0,3551.0,1517.0,1374.0,5097.0,8463.0,1148.0,2944.0,3437.0,1180.0,1174.0,5058.0,2018.0,2903.0,4522.0,2982.0,2044.0,2621.0,1354.0,2744.0,1656.0,2915.0,3385.0,1628.0,4211.0,4808.0,1396.0,3347.0,2730.0,3006.0,1793.0,2346.0,1854.0,2779.0,2666.0,2745.0,1634.0,3316.0,1950.0,2046.0,1546.0,1476.0,2557.0,3499.0,1000.0,1610.0,1751.0,3841.0,7453.0,2386.0,2592.0,1975.0,3111.0,1400.0,2866.0,1335.0,3817.0,5506.0,3512.0,1847.0,5231.0,6083.0,4226.0,1422.0
16,1467.0,1060.0,1251.0,1409.0,1328.0,932.0,4454.0,2359.0,2910.0,1689.0,3578.0,1019.0,1063.0,1434.0,908.0,1471.0,985.0,910.0,1537.0,1273.0,3979.0,774.0,761.0,598.0,8691.0,1971.0,1115.0,916.0,871.0,1899.0,3080.0,2500.0,1069.0,2318.0,2561.0,4721.0,1811.0,3600.0,872.0,1133.0,1477.0,4337.0,2406.0,1111.0,1824.0,1469.0,933.0,2515.0,5024.0,2550.0,1049.0,1204.0,1439.0,1310.0,699.0,937.0,876.0,3130.0,632.0,932.0,1446.0,666.0,959.0,1584.0,978.0,767.0,708.0,832.0,808.0,2719.0,1978.0,2776.0,1257.0,1839.0,2398.0,3620.0,1007.0,1305.0,2203.0,3645.0,671.0,3247.0,878.0,740.0,947.0,761.0,1871.0,1627.0,1784.0,765.0,1712.0,824.0,1086.0,4282.0,1637.0,1347.0,2208.0,1190.0,1127.0,1496.0
17,993.0,800.0,1378.0,1215.0,1763.0,1844.0,1849.0,3545.0,2355.0,1694.0,2243.0,1435.0,995.0,1557.0,988.0,2557.0,1792.0,799.0,1222.0,1928.0,2765.0,1816.0,2872.0,556.0,7274.0,2058.0,1602.0,942.0,2215.0,1232.0,3862.0,2268.0,1336.0,846.0,1476.0,1045.0,1440.0,2846.0,1028.0,1306.0,3538.0,2261.0,2527.0,4594.0,5502.0,732.0,743.0,1611.0,1494.0,2183.0,2965.0,2472.0,1629.0,3234.0,2043.0,6781.0,1487.0,4053.0,1263.0,1171.0,2049.0,2962.0,854.0,2886.0,2985.0,1073.0,581.0,978.0,1338.0,3928.0,1331.0,1290.0,1069.0,3142.0,1848.0,4678.0,1229.0,1618.0,3754.0,1574.0,962.0,3720.0,746.0,865.0,1355.0,1139.0,1615.0,2509.0,1723.0,861.0,2022.0,893.0,2547.0,3178.0,2100.0,5019.0,2074.0,4576.0,1842.0,2094.0
18,688.0,851.0,1802.0,1295.0,1845.0,842.0,2421.0,2793.0,2838.0,1911.0,3741.0,2403.0,1496.0,2050.0,692.0,1798.0,1561.0,1059.0,928.0,1296.0,3881.0,784.0,769.0,768.0,3348.0,2635.0,1440.0,876.0,1062.0,1221.0,3219.0,2565.0,1603.0,2626.0,2974.0,1737.0,2898.0,3001.0,947.0,1668.0,1940.0,3329.0,2067.0,2037.0,3115.0,1625.0,1440.0,1534.0,6592.0,2320.0,877.0,1291.0,2196.0,1685.0,977.0,3941.0,798.0,2324.0,948.0,1259.0,793.0,1368.0,1639.0,1959.0,1443.0,681.0,1382.0,968.0,2082.0,4191.0,3246.0,3116.0,1622.0,2469.0,1965.0,2071.0,1177.0,1578.0,3803.0,3523.0,821.0,3585.0,838.0,1030.0,1200.0,1184.0,1767.0,1796.0,1105.0,817.0,2967.0,1740.0,2699.0,3574.0,1688.0,1638.0,1438.0,930.0,2891.0,4037.0
19,1174.0,870.0,1077.0,992.0,1437.0,810.0,3935.0,1789.0,2046.0,1734.0,4524.0,973.0,1183.0,1269.0,1192.0,1078.0,938.0,1014.0,1097.0,1295.0,2973.0,960.0,1178.0,732.0,3996.0,2055.0,1378.0,879.0,949.0,1715.0,2740.0,901.0,1352.0,829.0,964.0,2218.0,2101.0,1747.0,1172.0,1010.0,1397.0,3566.0,1221.0,2065.0,1190.0,959.0,1020.0,1561.0,2542.0,2318.0,1328.0,1160.0,1101.0,1135.0,827.0,1951.0,630.0,2372.0,684.0,1392.0,1358.0,837.0,1120.0,2059.0,976.0,1334.0,1009.0,1143.0,2743.0,2140.0,1610.0,2831.0,904.0,1307.0,4295.0,3653.0,1240.0,1444.0,1250.0,2792.0,971.0,2522.0,884.0,674.0,1003.0,1441.0,911.0,1845.0,1405.0,1404.0,1111.0,1107.0,1173.0,3472.0,1074.0,1795.0,1465.0,2236.0,920.0,1786.0
20,2462.0,991.0,1581.0,1275.0,962.0,1279.0,3051.0,9470.0,1303.0,1654.0,2347.0,1432.0,948.0,1429.0,1520.0,3352.0,1116.0,4511.0,3490.0,869.0,2201.0,824.0,860.0,756.0,6841.0,3045.0,1088.0,1029.0,1479.0,1734.0,1484.0,852.0,1050.0,1119.0,1132.0,2483.0,1618.0,1947.0,1974.0,847.0,1619.0,7579.0,1947.0,1505.0,1078.0,1679.0,864.0,2001.0,2205.0,1362.0,828.0,863.0,1278.0,1100.0,885.0,4958.0,755.0,1811.0,804.0,1262.0,2134.0,1368.0,918.0,2173.0,1013.0,863.0,1983.0,1237.0,1089.0,1229.0,1300.0,1006.0,845.0,1513.0,3265.0,4606.0,1131.0,2328.0,3285.0,2460.0,886.0,2255.0,1397.0,800.0,894.0,1998.0,1355.0,1412.0,809.0,861.0,2593.0,1016.0,1038.0,5197.0,2395.0,2529.0,1177.0,920.0,1103.0,2568.0
21,913.0,944.0,1467.0,1147.0,1320.0,780.0,1399.0,1738.0,1378.0,1039.0,1429.0,972.0,846.0,1449.0,1101.0,1031.0,1057.0,1222.0,1121.0,1323.0,1746.0,778.0,1023.0,856.0,2856.0,1260.0,832.0,1171.0,1001.0,1338.0,1565.0,1005.0,1180.0,828.0,1059.0,2766.0,1815.0,1370.0,1088.0,1529.0,1007.0,1085.0,1302.0,2141.0,1459.0,1198.0,1168.0,2197.0,1643.0,3550.0,894.0,652.0,927.0,1532.0,973.0,1789.0,618.0,3158.0,783.0,2099.0,1996.0,1088.0,2454.0,1032.0,1257.0,2200.0,1205.0,1518.0,2549.0,1553.0,1313.0,2648.0,1251.0,3747.0,2158.0,6067.0,1448.0,1388.0,2677.0,1896.0,901.0,2782.0,1217.0,845.0,1472.0,1095.0,1624.0,2062.0,1132.0,2232.0,774.0,1102.0,1842.0,1119.0,920.0,2263.0,2479.0,814.0,948.0,2536.0
22,1885.0,891.0,1840.0,1427.0,1099.0,1190.0,4830.0,4609.0,3362.0,1505.0,5415.0,1515.0,1126.0,1666.0,1857.0,2171.0,1009.0,1408.0,2751.0,8286.0,2509.0,1315.0,1777.0,1429.0,1542.0,2091.0,1604.0,1020.0,1073.0,1266.0,4969.0,2101.0,775.0,1210.0,2632.0,1527.0,1572.0,2075.0,1758.0,921.0,1327.0,4489.0,751.0,868.0,1168.0,797.0,672.0,3464.0,1579.0,1715.0,2362.0,1256.0,2400.0,942.0,1235.0,1126.0,988.0,2161.0,1295.0,1068.0,1644.0,2551.0,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1164.0,1232.0,1066.0,1104.0,2695.0,1068.0,6865.0,8319.0,2786.0,3047.0,4068.0,1822.0,2031.0,1790.0,1144.0,1449.0,1311.0,1589.0,2285.0,2690.0,7529.0,708.0,771.0,683.0,9016.0,2842.0,1163.0,1009.0,1133.0,7003.0,3283.0,1474.0,1298.0,1026.0,2476.0,1380.0,2936.0,2486.0,1714.0,1152.0,1536.0,8565.0,1055.0,3114.0,4535.0,832.0,837.0,1855.0,1464.0,4800.0,1269.0,3455.0,1335.0,1204.0,1950.0,4773.0,866.0,1690.0,1189.0,1045.0,1459.0,693.0,1230.0,4942.0,855.0,1404.0,830.0,890.0,1503.0,2923.0,2270.0,2484.0,591.0,5272.0,2295.0,5254.0,1012.0,1246.0,3040.0,3617.0,774.0,3540.0,847.0,807.0,936.0,2305.0,2015.0,1908.0,2863.0,1030.0,2652.0,658.0,1231.0,2056.0,1649.0,2520.0,7210.0,983.0,1078.0,1936.0
24,1039.0,710.0,1872.0,987.0,1006.0,511.0,1446.0,2342.0,3207.0,968.0,198.0,844.0,789.0,1034.0,1000.0,1085.0,592.0,1688.0,1212.0,1163.0,1962.0,687.0,920.0,456.0,3822.0,1053.0,1055.0,705.0,905.0,1949.0,4213.0,1124.0,843.0,1430.0,835.0,1533.0,1319.0,2966.0,677.0,1154.0,1323.0,5021.0,1439.0,908.0,1610.0,968.0,627.0,1146.0,1791.0,1192.0,975.0,2285.0,1571.0,1004.0,817.0,1672.0,581.0,2445.0,725.0,1169.0,1658.0,664.0,1270.0,7136.0,982.0,1234.0,634.0,758.0,584.0,1616.0,1580.0,683.0,572.0,2732.0,3515.0,1795.0,872.0,930.0,675.0,1761.0,640.0,3143.0,617.0,1031.0,961.0,1018.0,1795.0,826.0,121.0,925.0,1034.0,586.0,1465.0,3412.0,1329.0,1604.0,1817.0,608.0,1096.0,1596.0
